block2.3.mlp.fc2.weight	torch.Size([128, 1024, 1, 1])
block2.3.mlp.fc2.bias	torch.Size([128])
block2.4.layer_scale_1	torch.Size([128])
block2.4.layer_scale_2	torch.Size([128])
block2.4.norm1.weight	torch.Size([128])
block2.4.norm1.bias	torch.Size([128])
block2.4.norm1.running_mean	torch.Size([128])
block2.4.norm1.running_var	torch.Size([128])
block2.4.norm1.num_batches_tracked	torch.Size([])
block2.4.attn.proj_1.weight	torch.Size([128, 128, 1, 1])
block2.4.attn.proj_1.bias	torch.Size([128])
block2.4.attn.spatial_gating_unit.conv0.weight	torch.Size([128, 1, 5, 5])
block2.4.attn.spatial_gating_unit.conv0.bias	torch.Size([128])
block2.4.attn.spatial_gating_unit.conv0_1.weight	torch.Size([128, 1, 1, 7])
block2.4.attn.spatial_gating_unit.conv0_1.bias	torch.Size([128])
block2.4.attn.spatial_gating_unit.conv0_2.weight	torch.Size([128, 1, 7, 1])
block2.4.attn.spatial_gating_unit.conv0_2.bias	torch.Size([128])
block2.4.attn.spatial_gating_unit.conv1_1.weight	torch.Size([128, 1, 1, 11])
block2.4.attn.spatial_gating_unit.conv1_1.bias	torch.Size([128])
block2.4.attn.spatial_gating_unit.conv1_2.weight	torch.Size([128, 1, 11, 1])
block2.4.attn.spatial_gating_unit.conv1_2.bias	torch.Size([128])
block2.4.attn.spatial_gating_unit.conv2_1.weight	torch.Size([128, 1, 1, 21])
block2.4.attn.spatial_gating_unit.conv2_1.bias	torch.Size([128])
block2.4.attn.spatial_gating_unit.conv2_2.weight	torch.Size([128, 1, 21, 1])
block2.4.attn.spatial_gating_unit.conv2_2.bias	torch.Size([128])
block2.4.attn.spatial_gating_unit.conv3.weight	torch.Size([128, 128, 1, 1])
block2.4.attn.spatial_gating_unit.conv3.bias	torch.Size([128])
block2.4.attn.proj_2.weight	torch.Size([128, 128, 1, 1])
block2.4.attn.proj_2.bias	torch.Size([128])
block2.4.norm2.weight	torch.Size([128])
block2.4.norm2.bias	torch.Size([128])
block2.4.norm2.running_mean	torch.Size([128])
block2.4.norm2.running_var	torch.Size([128])
block2.4.norm2.num_batches_tracked	torch.Size([])
block2.4.mlp.fc1.weight	torch.Size([1024, 128, 1, 1])
block2.4.mlp.fc1.bias	torch.Size([1024])
block2.4.mlp.dwconv.weight	torch.Size([1024, 1, 3, 3])
block2.4.mlp.dwconv.bias	torch.Size([1024])
block2.4.mlp.fc2.weight	torch.Size([128, 1024, 1, 1])
block2.4.mlp.fc2.bias	torch.Size([128])
norm2.weight	torch.Size([128])
norm2.bias	torch.Size([128])
patch_embed3.proj.weight	torch.Size([320, 128, 3, 3])
patch_embed3.proj.bias	torch.Size([320])
patch_embed3.norm.weight	torch.Size([320])
patch_embed3.norm.bias	torch.Size([320])
patch_embed3.norm.running_mean	torch.Size([320])
patch_embed3.norm.running_var	torch.Size([320])
patch_embed3.norm.num_batches_tracked	torch.Size([])
block3.0.layer_scale_1	torch.Size([320])
block3.0.layer_scale_2	torch.Size([320])
block3.0.norm1.weight	torch.Size([320])
block3.0.norm1.bias	torch.Size([320])
block3.0.norm1.running_mean	torch.Size([320])
block3.0.norm1.running_var	torch.Size([320])
block3.0.norm1.num_batches_tracked	torch.Size([])
block3.0.attn.proj_1.weight	torch.Size([320, 320, 1, 1])
block3.0.attn.proj_1.bias	torch.Size([320])
block3.0.attn.spatial_gating_unit.conv0.weight	torch.Size([320, 1, 5, 5])
block3.0.attn.spatial_gating_unit.conv0.bias	torch.Size([320])
block3.0.attn.spatial_gating_unit.conv0_1.weight	torch.Size([320, 1, 1, 7])
block3.0.attn.spatial_gating_unit.conv0_1.bias	torch.Size([320])
block3.0.attn.spatial_gating_unit.conv0_2.weight	torch.Size([320, 1, 7, 1])
block3.0.attn.spatial_gating_unit.conv0_2.bias	torch.Size([320])
block3.0.attn.spatial_gating_unit.conv1_1.weight	torch.Size([320, 1, 1, 11])
block3.0.attn.spatial_gating_unit.conv1_1.bias	torch.Size([320])
block3.0.attn.spatial_gating_unit.conv1_2.weight	torch.Size([320, 1, 11, 1])
block3.0.attn.spatial_gating_unit.conv1_2.bias	torch.Size([320])
block3.0.attn.spatial_gating_unit.conv2_1.weight	torch.Size([320, 1, 1, 21])
block3.0.attn.spatial_gating_unit.conv2_1.bias	torch.Size([320])
block3.0.attn.spatial_gating_unit.conv2_2.weight	torch.Size([320, 1, 21, 1])
block3.0.attn.spatial_gating_unit.conv2_2.bias	torch.Size([320])
block3.0.attn.spatial_gating_unit.conv3.weight	torch.Size([320, 320, 1, 1])
block3.0.attn.spatial_gating_unit.conv3.bias	torch.Size([320])
block3.0.attn.proj_2.weight	torch.Size([320, 320, 1, 1])
block3.0.attn.proj_2.bias	torch.Size([320])
block3.0.norm2.weight	torch.Size([320])
block3.0.norm2.bias	torch.Size([320])
block3.0.norm2.running_mean	torch.Size([320])
block3.0.norm2.running_var	torch.Size([320])
block3.0.norm2.num_batches_tracked	torch.Size([])
block3.0.mlp.fc1.weight	torch.Size([1280, 320, 1, 1])
block3.0.mlp.fc1.bias	torch.Size([1280])
block3.0.mlp.dwconv.weight	torch.Size([1280, 1, 3, 3])
block3.0.mlp.dwconv.bias	torch.Size([1280])
block3.0.mlp.fc2.weight	torch.Size([320, 1280, 1, 1])
block3.0.mlp.fc2.bias	torch.Size([320])
block3.1.layer_scale_1	torch.Size([320])
block3.1.layer_scale_2	torch.Size([320])
block3.1.norm1.weight	torch.Size([320])
block3.1.norm1.bias	torch.Size([320])
block3.1.norm1.running_mean	torch.Size([320])
block3.1.norm1.running_var	torch.Size([320])
block3.1.norm1.num_batches_tracked	torch.Size([])
block3.1.attn.proj_1.weight	torch.Size([320, 320, 1, 1])
block3.1.attn.proj_1.bias	torch.Size([320])
block3.1.attn.spatial_gating_unit.conv0.weight	torch.Size([320, 1, 5, 5])
block3.1.attn.spatial_gating_unit.conv0.bias	torch.Size([320])
block3.1.attn.spatial_gating_unit.conv0_1.weight	torch.Size([320, 1, 1, 7])
block3.1.attn.spatial_gating_unit.conv0_1.bias	torch.Size([320])
block3.1.attn.spatial_gating_unit.conv0_2.weight	torch.Size([320, 1, 7, 1])
block3.1.attn.spatial_gating_unit.conv0_2.bias	torch.Size([320])
